Number of frames: 258
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1, 0.041345317,-0.105353639,-0.024188677,-307.504516602,-188.895904541,-2476.341796875, 0.014904184,,,,,,,,
2, 0.040830825,-0.106384836,-0.024187384,-307.494812012,-188.896591187,-2476.342285156, 0.014515943,,,,,,,,
3, 0.040294897,-0.108215936,-0.023823962,-307.470367432,-188.893707275,-2476.386474609, 0.015424685,,,,,,,,
4, 0.039526090,-0.110297777,-0.023808056,-307.442657471,-188.892105103,-2476.409667969, 0.014946659,,,,,,,,
5, 0.038190506,-0.111880779,-0.024238043,-307.448486328,-188.891098022,-2476.433593750, 0.014734144,,,,,,,,
6, 0.036430985,-0.112618349,-0.025631325,-307.475677490,-188.895095825,-2476.406738281, 0.014922461,,,,,,,,
7, 0.034361642,-0.113281026,-0.027285790,-307.494018555,-188.890121460,-2476.470458984, 0.015454127,,,,,,,,
8, 0.032172121,-0.112342887,-0.029987397,-307.549774170,-188.890365601,-2476.456054688, 0.015122024,,,,,,,,
9, 0.030509969,-0.110861242,-0.033106647,-307.565002441,-188.889724731,-2476.378662109, 0.015886433,,,,,,,,
10, 0.029345969,-0.110005677,-0.035151217,-307.552429199,-188.885238647,-2476.405273438, 0.015445895,,,,,,,,
11, 0.028454114,-0.110293157,-0.036869150,-307.532562256,-188.885009766,-2476.357666016, 0.014578048,,,,,,,,
12, 0.027492346,-0.110982463,-0.037774287,-307.524108887,-188.885848999,-2476.348144531, 0.013517700,,,,,,,,
13, 0.026350496,-0.111397654,-0.037995178,-307.542175293,-188.884902954,-2476.393310547, 0.014645046,,,,,,,,
14, 0.025308067,-0.111828968,-0.038235985,-307.560333252,-188.886108398,-2476.413818359, 0.014488284,,,,,,,,
15, 0.024581056,-0.111948356,-0.038560241,-307.563903809,-188.886016846,-2476.431152344, 0.014404154,,,,,,,,
16, 0.024242003,-0.111908428,-0.039325863,-307.554779053,-188.885299683,-2476.406738281, 0.014480489,,,,,,,,
17, 0.024157323,-0.111986995,-0.040174522,-307.540740967,-188.885192871,-2476.387939453, 0.014166315,,,,,,,,
18, 0.024248669,-0.111879244,-0.040681262,-307.512145996,-188.881011963,-2476.429199219, 0.015114533,,,,,,,,
19, 0.024210297,-0.112060435,-0.041390155,-307.495025635,-188.880340576,-2476.428710938, 0.014959864,,,,,,,,
20, 0.023784477,-0.112480633,-0.041726857,-307.501007080,-188.878143311,-2476.483886719, 0.015947035,,,,,,,,
