Number of frames: 286
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1, 0.041354459,-0.032028306,-0.050749980,-307.333923340,-188.825653076,-2476.748779297, 0.013706777,,,,,,,,
2, 0.037529673,-0.031870820,-0.053411078,-307.376220703,-188.825973511,-2476.720214844, 0.012106066,,,,,,,,
3, 0.033862907,-0.032158677,-0.055753335,-307.418670654,-188.825347900,-2476.759521484, 0.011544077,,,,,,,,
4, 0.030639125,-0.033290252,-0.057997596,-307.436859131,-188.823532104,-2476.798339844, 0.012239214,,,,,,,,
5, 0.027872793,-0.034920741,-0.060261678,-307.436584473,-188.822982788,-2476.798339844, 0.013768733,,,,,,,,
6, 0.025360383,-0.036633875,-0.062053993,-307.429016113,-188.821456909,-2476.846191406, 0.015055446,,,,,,,,
7, 0.022946961,-0.038711164,-0.064390205,-307.420959473,-188.821899414,-2476.771972656, 0.014869541,,,,,,,,
8, 0.020420855,-0.040763084,-0.066191331,-307.440307617,-188.820571899,-2476.795898438, 0.014735024,,,,,,,,
9, 0.018134685,-0.042460706,-0.068459623,-307.436096191,-188.818832397,-2476.728759766, 0.014602031,,,,,,,,
10, 0.015816065,-0.044730783,-0.070145205,-307.446746826,-188.815841675,-2476.727050781, 0.014376964,,,,,,,,
11, 0.013446040,-0.045965564,-0.071068540,-307.457763672,-188.814132690,-2476.797363281, 0.015400980,,,,,,,,
12, 0.011051945,-0.047016587,-0.072031893,-307.480651855,-188.814331055,-2476.790283203, 0.015430566,,,,,,,,
13, 0.008669171,-0.048856623,-0.072465375,-307.527160645,-188.813583374,-2476.808105469, 0.015629327,,,,,,,,
14, 0.006802457,-0.050704569,-0.072635382,-307.545654297,-188.814910889,-2476.823730469, 0.015340000,,,,,,,,
15, 0.005478675,-0.053021871,-0.072671793,-307.571716309,-188.815078735,-2476.849853516, 0.016401000,,,,,,,,
16, 0.005039089,-0.054825731,-0.072715558,-307.537109375,-188.812728882,-2476.858886719, 0.017233089,,,,,,,,
17, 0.004895394,-0.057197090,-0.072605841,-307.506225586,-188.812332153,-2476.857421875, 0.016620608,,,,,,,,
18, 0.004716251,-0.058980133,-0.072322637,-307.472320557,-188.811828613,-2476.849609375, 0.016983660,,,,,,,,
19, 0.004102200,-0.060403138,-0.071730673,-307.459167480,-188.812469482,-2476.882080078, 0.017182745,,,,,,,,
20, 0.003011196,-0.061785590,-0.071292661,-307.462554932,-188.813858032,-2476.876953125, 0.015060347,,,,,,,,
21, 0.001500458,-0.061937630,-0.070719503,-307.481994629,-188.812179565,-2476.922607422, 0.015263880,,,,,,,,
22,-0.000193696,-0.062510341,-0.070615955,-307.520233154,-188.813201904,-2476.918212891, 0.017336579,,,,,,,,
23,-0.001693559,-0.062063739,-0.070952885,-307.550750732,-188.812393188,-2476.899169922, 0.016529536,,,,,,,,
24,-0.002682729,-0.062001597,-0.071493581,-307.559753418,-188.812454224,-2476.862304688, 0.016664082,,,,,,,,
25,-0.003100032,-0.062138878,-0.071633175,-307.548431396,-188.811981201,-2476.891845703, 0.016890483,,,,,,,,
26,-0.003124297,-0.062776394,-0.071841612,-307.526824951,-188.811721802,-2476.879150391, 0.018222529,,,,,,,,
27,-0.003123574,-0.063552484,-0.071514562,-307.510101318,-188.811141968,-2476.925537109, 0.018628001,,,,,,,,
28,-0.003180967,-0.063886128,-0.071337692,-307.491729736,-188.813110352,-2476.915771484, 0.018207887,,,,,,,,
29,-0.003512882,-0.064429037,-0.071242169,-307.494018555,-188.815780640,-2476.877685547, 0.017377634,,,,,,,,
30,-0.004044940,-0.064362958,-0.070727654,-307.501556396,-188.814132690,-2476.935546875, 0.018240070,,,,,,,,
31,-0.004643564,-0.064274505,-0.070625700,-307.520446777,-188.812805176,-2476.929687500, 0.017772792,,,,,,,,
32,-0.005072062,-0.064457193,-0.070547082,-307.520965576,-188.813842773,-2476.939453125, 0.017955020,,,,,,,,
33,-0.005409917,-0.064538777,-0.070349298,-307.510375977,-188.813354492,-2476.993164063, 0.018628687,,,,,,,,
34,-0.005812519,-0.064873949,-0.071002938,-307.516052246,-188.814300537,-2476.935302734, 0.017886549,,,,,,,,
35,-0.006278935,-0.064643890,-0.071563445,-307.520690918,-188.812957764,-2476.933593750, 0.017354995,,,,,,,,
36,-0.006737402,-0.064285733,-0.072101213,-307.522796631,-188.811264038,-2476.958496094, 0.019052114,,,,,,,,
37,-0.007095349,-0.064014256,-0.072735868,-307.513549805,-188.810104370,-2476.943847656, 0.017282935,,,,,,,,
38,-0.007443754,-0.063594289,-0.072898388,-307.523223877,-188.810455322,-2476.949951172, 0.019386046,,,,,,,,
39,-0.007567953,-0.063396804,-0.072975583,-307.518585205,-188.811294556,-2476.900390625, 0.017548490,,,,,,,,
40,-0.007656226,-0.063173130,-0.072181612,-307.519256592,-188.811843872,-2476.945800781, 0.018267760,,,,,,,,
41,-0.007634311,-0.062852062,-0.071614340,-307.514404297,-188.814102173,-2476.919433594, 0.018369159,,,,,,,,
42,-0.007639474,-0.062577918,-0.070687674,-307.507385254,-188.815292358,-2476.973876953, 0.018152580,,,,,,,,
43,-0.007648300,-0.062387154,-0.070580520,-307.514099121,-188.816970825,-2476.926025391, 0.017990995,,,,,,,,
44,-0.007645402,-0.062183402,-0.070367388,-307.514617920,-188.816116333,-2476.937255859, 0.018248647,,,,,,,,
45,-0.007525942,-0.061933659,-0.070517227,-307.502563477,-188.817871094,-2476.910888672, 0.017273558,,,,,,,,
46,-0.007509266,-0.061261352,-0.070754729,-307.510375977,-188.818283081,-2476.864746094, 0.017322872,,,,,,,,
47,-0.007477155,-0.060412385,-0.070493266,-307.506652832,-188.817932129,-2476.878906250, 0.017239301,,,,,,,,
48,-0.007513057,-0.060063224,-0.070234150,-307.514068604,-188.818771362,-2476.857666016, 0.016790578,,,,,,,,
49,-0.007544856,-0.059403501,-0.069840424,-307.505950928,-188.820480347,-2476.834472656, 0.015412124,,,,,,,,
50,-0.007636156,-0.058082279,-0.068929583,-307.511993408,-188.820541382,-2476.896240234, 0.017184209,,,,,,,,
51,-0.007701646,-0.057578754,-0.068280227,-307.511566162,-188.819885254,-2476.874511719, 0.017283319,,,,,,,,
52,-0.007840642,-0.056765392,-0.067379221,-307.515991211,-188.819671631,-2476.880371094, 0.017310278,,,,,,,,
53,-0.007935530,-0.056105860,-0.066473939,-307.507019043,-188.821090698,-2476.850830078, 0.015367198,,,,,,,,
54,-0.008129673,-0.054931354,-0.065046087,-307.511779785,-188.821517944,-2476.893798828, 0.017124888,,,,,,,,
55,-0.008325427,-0.053929038,-0.063748218,-307.524566650,-188.821792603,-2476.932128906, 0.016409513,,,,,,,,
56,-0.008386252,-0.052987739,-0.063022450,-307.530548096,-188.822494507,-2476.906982422, 0.017142536,,,,,,,,
57,-0.008229503,-0.052104391,-0.061971646,-307.509613037,-188.822158813,-2476.963134766, 0.015949586,,,,,,,,
58,-0.008047086,-0.050913498,-0.061188020,-307.490478516,-188.820693970,-2477.019775391, 0.017863309,,,,,,,,
59,-0.008041651,-0.049945947,-0.061283603,-307.477996826,-188.822067261,-2476.951660156, 0.016684864,,,,,,,,
60,-0.008366157,-0.048318692,-0.061134569,-307.472442627,-188.820709229,-2476.964599609, 0.016950380,,,,,,,,
61,-0.009055190,-0.046464536,-0.061236508,-307.471862793,-188.820938110,-2476.946777344, 0.016446494,,,,,,,,
