Number of frames: 278
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1,,,,,,,, 0.117974520,-0.262200683,-0.012417806,-318.270843506,-188.943267822,-2471.052734375, 0.010753837,
2,,,,,,,, 0.117988177,-0.262273937,-0.012505961,-318.271270752,-188.943801880,-2471.027832031, 0.009512288,
3,,,,,,,, 0.117960028,-0.262207776,-0.012430737,-318.275207520,-188.943923950,-2471.021484375, 0.009130316,
4,,,,,,,, 0.117946491,-0.262233257,-0.012204793,-318.272338867,-188.942321777,-2471.042968750, 0.010110805,
5,,,,,,,, 0.117929310,-0.262196988,-0.012059812,-318.278717041,-188.941680908,-2471.060058594, 0.011313136,
6,,,,,,,, 0.117937550,-0.262080044,-0.011986726,-318.278045654,-188.941864014,-2471.066406250, 0.011063484,
7,,,,,,,, 0.117940798,-0.261878461,-0.012070087,-318.284912109,-188.942962646,-2471.061523438, 0.011391747,
8,,,,,,,, 0.118001401,-0.261999011,-0.012236441,-318.271942139,-188.942428589,-2471.047851563, 0.010700200,
9,,,,,,,, 0.117990412,-0.262084126,-0.012319962,-318.265747070,-188.942474365,-2471.054199219, 0.010747244,
10,,,,,,,, 0.117937475,-0.262089372,-0.012402582,-318.272003174,-188.943634033,-2471.053955078, 0.012038482,
11,,,,,,,, 0.117960386,-0.262021273,-0.012425274,-318.265014648,-188.943649292,-2471.053955078, 0.011462801,
12,,,,,,,, 0.117990173,-0.261832744,-0.012520113,-318.269653320,-188.944152832,-2471.044189453, 0.010998444,
13,,,,,,,, 0.118045062,-0.261963278,-0.012671713,-318.269805908,-188.944976807,-2471.022216797, 0.010972908,
14,,,,,,,, 0.118089631,-0.261893630,-0.012538949,-318.264434814,-188.943832397,-2471.044677734, 0.010899088,
15,,,,,,,, 0.118140243,-0.261938661,-0.012734508,-318.272644043,-188.945938110,-2471.013427734, 0.010091539,
16,,,,,,,, 0.118139826,-0.261932552,-0.012588036,-318.269317627,-188.944412231,-2471.036132813, 0.010644555,
17,,,,,,,, 0.118080400,-0.261878490,-0.012353631,-318.268310547,-188.942871094,-2471.070312500, 0.010342103,
18,,,,,,,, 0.118031353,-0.261878461,-0.012317031,-318.264678955,-188.941558838,-2471.063232422, 0.010904692,
19,,,,,,,, 0.117937326,-0.261910170,-0.012239372,-318.267272949,-188.941253662,-2471.073242188, 0.012532788,
20,,,,,,,, 0.117932543,-0.261814266,-0.012347729,-318.268676758,-188.941864014,-2471.046630859, 0.011070633,
21,,,,,,,, 0.117949069,-0.261868596,-0.012342340,-318.261810303,-188.942459106,-2471.033447266, 0.010355194,
22,,,,,,,, 0.117900968,-0.261729151,-0.011930223,-318.257904053,-188.938278198,-2471.090332031, 0.012028033,
23,,,,,,,, 0.117926337,-0.261612952,-0.012053139,-318.268981934,-188.940475464,-2471.061523438, 0.011326471,
24,,,,,,,, 0.117974550,-0.261702031,-0.012154242,-318.273620605,-188.941253662,-2471.043701172, 0.010552201,
25,,,,,,,, 0.118003614,-0.261694014,-0.012179253,-318.275238037,-188.941375732,-2471.042480469, 0.010949443,
26,,,,,,,, 0.118059121,-0.261464715,-0.012300004,-318.273254395,-188.942245483,-2471.034912109, 0.010082758,
27,,,,,,,, 0.118074968,-0.261510879,-0.012374511,-318.266723633,-188.941925049,-2471.036865234, 0.009536538,
