Number of frames: 283
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1,,,,,,,, 0.112982638,-0.293969095,-0.016722351,-317.912231445,-188.917068481,-2469.719970703, 0.007648166,
2,,,,,,,, 0.112868108,-0.294081897,-0.016597271,-317.917724609,-188.918350220,-2469.708984375, 0.009005182,
3,,,,,,,, 0.112763442,-0.294000089,-0.016363043,-317.923950195,-188.918777466,-2469.706542969, 0.009186868,
4,,,,,,,, 0.112738416,-0.293924540,-0.016112426,-317.918701172,-188.917617798,-2469.712646484, 0.008987213,
5,,,,,,,, 0.112715892,-0.293870270,-0.015873764,-317.914459229,-188.916671753,-2469.720947266, 0.008406418,
6,,,,,,,, 0.112670057,-0.293833762,-0.015726013,-317.918212891,-188.915512085,-2469.721679688, 0.008899152,
7,,,,,,,, 0.112707786,-0.293732971,-0.015564944,-317.912841797,-188.914520264,-2469.736572266, 0.009143868,
8,,,,,,,, 0.112760864,-0.293892622,-0.015582332,-317.908630371,-188.915359497,-2469.726318359, 0.008302700,
9,,,,,,,, 0.112776302,-0.293727547,-0.015689475,-317.913116455,-188.916595459,-2469.707031250, 0.007536902,
10,,,,,,,, 0.112800434,-0.293612510,-0.015753632,-317.912445068,-188.917221069,-2469.714111328, 0.007705391,
11,,,,,,,, 0.112834170,-0.293837428,-0.016051030,-317.913299561,-188.918792725,-2469.697998047, 0.008669564,
12,,,,,,,, 0.112806752,-0.293848127,-0.016125305,-317.917510986,-188.916641235,-2469.724853516, 0.009648339,
13,,,,,,,, 0.112833589,-0.293811589,-0.016307570,-317.913574219,-188.916213989,-2469.724609375, 0.009091258,
14,,,,,,,, 0.112860717,-0.293517023,-0.016512381,-317.915313721,-188.917556763,-2469.713134766, 0.009006531,
15,,,,,,,, 0.112875402,-0.293619424,-0.016638948,-317.918945313,-188.918121338,-2469.714843750, 0.009143163,
16,,,,,,,, 0.112972036,-0.293819994,-0.016729573,-317.908111572,-188.917358398,-2469.725097656, 0.008746138,
17,,,,,,,, 0.113053150,-0.293863237,-0.016891519,-317.905029297,-188.918472290,-2469.701904297, 0.008228078,
18,,,,,,,, 0.113041945,-0.293832511,-0.016863128,-317.911956787,-188.917800903,-2469.703125000, 0.008926021,
19,,,,,,,, 0.113017902,-0.293922514,-0.016842054,-317.918762207,-188.918701172,-2469.695312500, 0.007587878,
20,,,,,,,, 0.112966046,-0.293870628,-0.016471580,-317.914459229,-188.917556763,-2469.725341797, 0.009227360,
21,,,,,,,, 0.112897642,-0.293702006,-0.016077068,-317.908447266,-188.915634155,-2469.744384766, 0.009293532,
22,,,,,,,, 0.112806514,-0.293631971,-0.015964322,-317.918304443,-188.916610718,-2469.729980469, 0.009566398,
