Number of frames: 290
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1,,,,,,,, 0.118411876,-0.360671848,-0.021984687,-318.783660889,-188.921279907,-2470.579101563, 0.013461019,
2,,,,,,,, 0.118520878,-0.360514581,-0.022368092,-318.791931152,-188.923797607,-2470.553710938, 0.012434695,
3,,,,,,,, 0.118634596,-0.360389680,-0.022559121,-318.787933350,-188.923522949,-2470.552001953, 0.011686119,
4,,,,,,,, 0.118593350,-0.360468686,-0.022387797,-318.789855957,-188.920608521,-2470.599609375, 0.013569710,
5,,,,,,,, 0.118528001,-0.360607445,-0.022299316,-318.797821045,-188.919845581,-2470.606933594, 0.014150172,
6,,,,,,,, 0.118579909,-0.360581905,-0.022538172,-318.803070068,-188.924438477,-2470.536132813, 0.011677979,
7,,,,,,,, 0.118486352,-0.360449493,-0.022223864,-318.801971436,-188.923889160,-2470.537841797, 0.011862912,
8,,,,,,,, 0.118385479,-0.360442668,-0.021796579,-318.787384033,-188.921859741,-2470.550048828, 0.011338567,
9,,,,,,,, 0.118326455,-0.360447139,-0.021695646,-318.788696289,-188.923248291,-2470.526611328, 0.011229636,
10,,,,,,,, 0.118238024,-0.360311270,-0.021466877,-318.790039063,-188.922119141,-2470.541503906, 0.011793680,
11,,,,,,,, 0.118203714,-0.360523224,-0.021262493,-318.781921387,-188.920166016,-2470.570312500, 0.011814156,
12,,,,,,,, 0.118212871,-0.360438198,-0.021205509,-318.784729004,-188.920593262,-2470.581787109, 0.011903197,
13,,,,,,,, 0.118285544,-0.360501856,-0.021453468,-318.791290283,-188.923385620,-2470.547607422, 0.011137269,
14,,,,,,,, 0.118314758,-0.360501736,-0.021411059,-318.787170410,-188.922943115,-2470.565673828, 0.011574027,
15,,,,,,,, 0.118254766,-0.360452920,-0.021329148,-318.789642334,-188.921646118,-2470.579833984, 0.012255022,
16,,,,,,,, 0.118287593,-0.360374272,-0.021636108,-318.797088623,-188.924133301,-2470.538085938, 0.011544960,
17,,,,,,,, 0.118285760,-0.360337257,-0.021749582,-318.796875000,-188.923385620,-2470.532714844, 0.012246345,
18,,,,,,,, 0.118311793,-0.360362917,-0.021899814,-318.796661377,-188.923019409,-2470.538085938, 0.012763106,
19,,,,,,,, 0.118451789,-0.360492080,-0.022226477,-318.791931152,-188.923553467,-2470.518798828, 0.011847513,
20,,,,,,,, 0.118515469,-0.360493898,-0.022337629,-318.791290283,-188.922607422,-2470.542480469, 0.012301000,
21,,,,,,,, 0.118615702,-0.360525072,-0.022524480,-318.791168213,-188.922851563,-2470.551269531, 0.011572980,
22,,,,,,,, 0.118724912,-0.360625267,-0.022724228,-318.788085938,-188.922973633,-2470.542480469, 0.010968759,
23,,,,,,,, 0.118673623,-0.360580146,-0.022548171,-318.787841797,-188.921524048,-2470.566406250, 0.012076678,
24,,,,,,,, 0.118555307,-0.360608727,-0.022193458,-318.785858154,-188.918762207,-2470.587890625, 0.012937903,
25,,,,,,,, 0.118503518,-0.360490113,-0.022160174,-318.790344238,-188.921920776,-2470.539550781, 0.011181977,
26,,,,,,,, 0.118367679,-0.360321760,-0.021801058,-318.787506104,-188.921157837,-2470.548583984, 0.012569875,
27,,,,,,,, 0.118280873,-0.360445619,-0.021700168,-318.792694092,-188.922439575,-2470.529785156, 0.011760844,
28,,,,,,,, 0.118160643,-0.360299081,-0.021381151,-318.796813965,-188.920410156,-2470.560302734, 0.013497554,
29,,,,,,,, 0.118089654,-0.360274822,-0.021032441,-318.789947510,-188.916809082,-2470.607666016, 0.014285835,
30,,,,,,,, 0.118225522,-0.360331774,-0.021347342,-318.789215088,-188.920669556,-2470.556640625, 0.011725740,
31,,,,,,,, 0.118272878,-0.360525668,-0.021462563,-318.789855957,-188.922500610,-2470.547363281, 0.010768741,
32,,,,,,,, 0.118271142,-0.360377580,-0.021400252,-318.789184570,-188.921752930,-2470.565673828, 0.012311745,
33,,,,,,,, 0.118273392,-0.360353678,-0.021435255,-318.788024902,-188.920562744,-2470.559814453, 0.012575390,
34,,,,,,,, 0.118319571,-0.360493481,-0.021608738,-318.785278320,-188.920898438,-2470.541748047, 0.012033957,
