Number of frames: 282
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1,,,,,,,, 0.114017665,-0.056860100, 0.008160371,-318.842163086,-188.931320190,-2469.537597656, 0.005088788,
2,,,,,,,, 0.113991067,-0.056815192, 0.008162305,-318.832275391,-188.930404663,-2469.541259766, 0.005546298,
3,,,,,,,, 0.113935322,-0.056720175, 0.008379585,-318.831359863,-188.927688599,-2469.578369141, 0.004870468,
4,,,,,,,, 0.113883249,-0.056494992, 0.008535693,-318.838134766,-188.926513672,-2469.593261719, 0.004400811,
5,,,,,,,, 0.113912754,-0.056655273, 0.008326617,-318.838226318,-188.930770874,-2469.539306641, 0.004203985,
6,,,,,,,, 0.113955364,-0.056745708, 0.008457139,-318.839813232,-188.930526733,-2469.539306641, 0.004427319,
7,,,,,,,, 0.113978378,-0.056649297, 0.008733670,-318.844360352,-188.927993774,-2469.566650391, 0.004574397,
8,,,,,,,, 0.113967180,-0.056776658, 0.008700256,-318.851562500,-188.929016113,-2469.552246094, 0.005107148,
9,,,,,,,, 0.113976829,-0.056906644, 0.008651439,-318.846557617,-188.929565430,-2469.547363281, 0.005422757,
10,,,,,,,, 0.113983966,-0.056776416, 0.008631038,-318.842315674,-188.929718018,-2469.551269531, 0.005374786,
11,,,,,,,, 0.113975219,-0.056991421, 0.008742786,-318.832550049,-188.925262451,-2469.593261719, 0.004590906,
12,,,,,,,, 0.113969214,-0.056945860, 0.008384057,-318.830291748,-188.928588867,-2469.556884766, 0.004606520,
13,,,,,,,, 0.113956966,-0.056877088, 0.008378107,-318.827362061,-188.927841187,-2469.577392578, 0.004987660,
14,,,,,,,, 0.113925382,-0.056696944, 0.008159194,-318.833038330,-188.928909302,-2469.552490234, 0.004752065,
15,,,,,,,, 0.113879897,-0.056580570, 0.008281725,-318.843536377,-188.927459717,-2469.569335938, 0.004790575,
16,,,,,,,, 0.113947913,-0.056643233, 0.008231073,-318.839660645,-188.929397583,-2469.549560547, 0.004899621,
17,,,,,,,, 0.114008620,-0.056621127, 0.008333828,-318.837829590,-188.928848267,-2469.554443359, 0.004761422,
18,,,,,,,, 0.114020944,-0.056549203, 0.008253869,-318.842468262,-188.928939819,-2469.532714844, 0.004956203,
19,,,,,,,, 0.113983840,-0.056680478, 0.008255809,-318.844757080,-188.928787231,-2469.538818359, 0.004562459,
20,,,,,,,, 0.113953047,-0.056674603, 0.008231645,-318.843109131,-188.927780151,-2469.542968750, 0.005336842,
21,,,,,,,, 0.113930978,-0.056864843, 0.008414997,-318.835418701,-188.924316406,-2469.580322266, 0.004845898,
22,,,,,,,, 0.113937080,-0.056669876, 0.008296977,-318.831756592,-188.926956177,-2469.549560547, 0.003973064,
23,,,,,,,, 0.113923214,-0.056374598, 0.008375085,-318.836456299,-188.927795410,-2469.541015625, 0.004965104,
24,,,,,,,, 0.113937385,-0.056506302, 0.008601480,-318.833343506,-188.925918579,-2469.569580078, 0.005050853,
25,,,,,,,, 0.113936879,-0.056834180, 0.008523599,-318.833709717,-188.926788330,-2469.545410156, 0.005169593,
26,,,,,,,, 0.113923937,-0.056750517, 0.008656353,-318.842132568,-188.925750732,-2469.556396484, 0.005140619,
27,,,,,,,, 0.113938898,-0.056675017, 0.008716389,-318.844909668,-188.926223755,-2469.557861328, 0.004175935,
28,,,,,,,, 0.113934115,-0.056734335, 0.008737284,-318.846710205,-188.925552368,-2469.565429688, 0.004632890,
29,,,,,,,, 0.113942035,-0.056715809, 0.008659695,-318.842651367,-188.925430298,-2469.559814453, 0.004815458,
30,,,,,,,, 0.113940105,-0.056728661, 0.008274982,-318.837554932,-188.927886963,-2469.521240234, 0.004579620,
31,,,,,,,, 0.113892563,-0.056376632, 0.008232240,-318.842834473,-188.926834106,-2469.535644531, 0.005314752,
32,,,,,,,, 0.113885865,-0.056594752, 0.008288542,-318.832092285,-188.924270630,-2469.567871094, 0.005232722,
33,,,,,,,, 0.113917507,-0.056811515, 0.008231970,-318.825592041,-188.924957275,-2469.565917969, 0.005096624,
34,,,,,,,, 0.113955572,-0.056755476, 0.008030766,-318.829620361,-188.927627563,-2469.522949219, 0.005011741,
35,,,,,,,, 0.113968171,-0.056531787, 0.008190672,-318.836517334,-188.926956177,-2469.534423828, 0.004596651,
36,,,,,,,, 0.113967970,-0.056583133, 0.008279374,-318.842895508,-188.926391602,-2469.541259766, 0.004190746,
37,,,,,,,, 0.113991603,-0.056686901, 0.008191240,-318.839569092,-188.927413940,-2469.526123047, 0.004194433,
38,,,,,,,, 0.113968067,-0.056587249, 0.008217068,-318.842041016,-188.927215576,-2469.529785156, 0.004489466,
39,,,,,,,, 0.113910861,-0.056575797, 0.008510875,-318.843994141,-188.923187256,-2469.581298828, 0.005366720,
40,,,,,,,, 0.113951303,-0.056757286, 0.008256241,-318.828399658,-188.925628662,-2469.537841797, 0.004774825,
41,,,,,,,, 0.113915406,-0.056667462, 0.008350408,-318.828125000,-188.924865723,-2469.545898438, 0.004679564,
42,,,,,,,, 0.113883495,-0.056778252, 0.008609140,-318.825317383,-188.921493530,-2469.583984375, 0.005023577,
43,,,,,,,, 0.113902427,-0.056669496, 0.008524979,-318.827026367,-188.923934937,-2469.552734375, 0.005083398,
44,,,,,,,, 0.113885440,-0.056625172, 0.008725481,-318.837432861,-188.921783447,-2469.575927734, 0.005595944,
45,,,,,,,, 0.113927349,-0.056614008, 0.008646753,-318.840759277,-188.924560547,-2469.553710938, 0.004963902,
46,,,,,,,, 0.113967828,-0.056524806, 0.008629326,-318.844848633,-188.924713135,-2469.547119141, 0.005119049,
47,,,,,,,, 0.113996439,-0.056652222, 0.008416381,-318.841613770,-188.927124023,-2469.524169922, 0.004918880,
48,,,,,,,, 0.113975070,-0.056620482, 0.008370250,-318.839630127,-188.926162720,-2469.533935547, 0.004659149,
49,,,,,,,, 0.113929056,-0.056602437, 0.008257148,-318.835693359,-188.925201416,-2469.530517578, 0.004626814,
50,,,,,,,, 0.113861822,-0.056521561, 0.008362232,-318.836242676,-188.922363281,-2469.567871094, 0.005166413,
51,,,,,,,, 0.113872536,-0.056543101, 0.008297117,-318.828338623,-188.921875000,-2469.568359375, 0.004607501,
52,,,,,,,, 0.113879845,-0.056667518, 0.008065738,-318.826934814,-188.924453735,-2469.529052734, 0.005491324,
53,,,,,,,, 0.113890372,-0.056480438, 0.008250070,-318.832183838,-188.922592163,-2469.556396484, 0.005652971,
54,,,,,,,, 0.113944791,-0.056661975, 0.008176510,-318.831390381,-188.923446655,-2469.537841797, 0.005313174,
55,,,,,,,, 0.113979049,-0.056553692, 0.008268903,-318.836181641,-188.923889160,-2469.543945313, 0.005119858,
56,,,,,,,, 0.113974728,-0.056695011, 0.008357136,-318.841094971,-188.922698975,-2469.555664063, 0.005098002,
57,,,,,,,, 0.113965735,-0.056794513, 0.008467223,-318.841217041,-188.921661377,-2469.569335938, 0.005248587,
58,,,,,,,, 0.113940075,-0.056540851, 0.008547928,-318.839569092,-188.922164917,-2469.579101563, 0.005793152,
59,,,,,,,, 0.113939874,-0.056483507, 0.008378621,-318.828735352,-188.923675537,-2469.543945313, 0.004932238,
60,,,,,,,, 0.113857888,-0.056649927, 0.008460579,-318.829193115,-188.922271729,-2469.556640625, 0.005315333,
61,,,,,,,, 0.113804512,-0.056658935, 0.008427219,-318.833740234,-188.923385620,-2469.546630859, 0.005376822,
62,,,,,,,, 0.113822937,-0.056564942, 0.008493996,-318.834503174,-188.924102783,-2469.545166016, 0.004752384,
63,,,,,,,, 0.113882519,-0.056625500, 0.008487068,-318.832397461,-188.924758911,-2469.533935547, 0.004631838,
64,,,,,,,, 0.113949150,-0.056655951, 0.008873168,-318.831481934,-188.918975830,-2469.601806641, 0.005540497,
65,,,,,,,, 0.113974512,-0.056544889, 0.008627846,-318.838897705,-188.922119141,-2469.563476563, 0.005154788,
66,,,,,,,, 0.113965482,-0.056214355, 0.008421909,-318.847167969,-188.924301147,-2469.540039063, 0.005449628,
67,,,,,,,, 0.113989227,-0.056580801, 0.008148370,-318.835052490,-188.924865723,-2469.511230469, 0.004568994,
68,,,,,,,, 0.113925792,-0.056704525, 0.008344424,-318.832763672,-188.921829224,-2469.564453125, 0.004846475,
69,,,,,,,, 0.113880381,-0.056481864, 0.008404068,-318.832122803,-188.919998169,-2469.578125000, 0.005079809,
70,,,,,,,, 0.113837533,-0.056450918, 0.008313159,-318.832366943,-188.920318604,-2469.570556641, 0.005651484,
71,,,,,,,, 0.113870300,-0.056405317, 0.008129563,-318.828063965,-188.922302246,-2469.543701172, 0.004982013,
72,,,,,,,, 0.113874346,-0.056500688, 0.008017111,-318.832092285,-188.923217773,-2469.518798828, 0.005632820,
73,,,,,,,, 0.113885134,-0.056475759, 0.008236725,-318.838043213,-188.921142578,-2469.548339844, 0.005679192,
74,,,,,,,, 0.113949560,-0.056512687, 0.008324467,-318.839569092,-188.922195435,-2469.554687500, 0.004912158,
75,,,,,,,, 0.113975056,-0.056689046, 0.008266974,-318.837890625,-188.924377441,-2469.533203125, 0.004879851,
76,,,,,,,, 0.113944709,-0.056697205, 0.008332221,-318.840728760,-188.923828125,-2469.541015625, 0.004721472,
