Number of frames: 333
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1,,,,,,,, 0.115175769,-0.355778843,-0.019387197,-317.790527344,-188.957748413,-2469.337402344, 0.010325351,
2,,,,,,,, 0.115043767,-0.355559617,-0.018918792,-317.786254883,-188.955764771,-2469.381347656, 0.010286194,
3,,,,,,,, 0.114973150,-0.355477899,-0.018727215,-317.786926270,-188.953857422,-2469.395751953, 0.010832326,
4,,,,,,,, 0.115029454,-0.355653316,-0.018796200,-317.778442383,-188.953079224,-2469.395263672, 0.011618891,
5,,,,,,,, 0.115159206,-0.355680764,-0.019136133,-317.776855469,-188.954864502,-2469.364501953, 0.010232790,
6,,,,,,,, 0.115239032,-0.355574548,-0.019432349,-317.786163330,-188.956390381,-2469.348144531, 0.009437132,
7,,,,,,,, 0.115310535,-0.355518162,-0.019448441,-317.778778076,-188.954284668,-2469.377929688, 0.009903683,
8,,,,,,,, 0.115334921,-0.355388910,-0.019604838,-317.789886475,-188.954666138,-2469.392822266, 0.010719551,
9,,,,,,,, 0.115524210,-0.355618328,-0.020080537,-317.779174805,-188.956069946,-2469.378906250, 0.010322478,
10,,,,,,,, 0.115595773,-0.355547339,-0.020415425,-317.781097412,-188.955749512,-2469.385253906, 0.010815074,
11,,,,,,,, 0.115622245,-0.355285645,-0.020681197,-317.790557861,-188.956100464,-2469.379150391, 0.010734209,
12,,,,,,,, 0.115682967,-0.355406463,-0.020897986,-317.786682129,-188.957550049,-2469.355224609, 0.009610674,
13,,,,,,,, 0.115617730,-0.355368257,-0.020613091,-317.780059814,-188.955215454,-2469.379638672, 0.010635776,
14,,,,,,,, 0.115570016,-0.355538040,-0.020332709,-317.769989014,-188.953704834,-2469.388183594, 0.011058715,
15,,,,,,,, 0.115540080,-0.355616093,-0.020248897,-317.775115967,-188.955215454,-2469.368408203, 0.009527337,
16,,,,,,,, 0.115429252,-0.355475187,-0.019943211,-317.785583496,-188.954025269,-2469.376708984, 0.010964450,
17,,,,,,,, 0.115360938,-0.355655968,-0.019732492,-317.788177490,-188.954254150,-2469.372314453, 0.010651176,
18,,,,,,,, 0.115346767,-0.355741620,-0.019584456,-317.783447266,-188.955230713,-2469.355468750, 0.008833624,
19,,,,,,,, 0.115237795,-0.355390042,-0.019289996,-317.787536621,-188.954681396,-2469.359130859, 0.009054733,
20,,,,,,,, 0.115149319,-0.355439425,-0.019022591,-317.780456543,-188.953063965,-2469.374267578, 0.009308646,
21,,,,,,,, 0.115124889,-0.355588287,-0.018967412,-317.771759033,-188.953170776,-2469.372558594, 0.009348381,
22,,,,,,,, 0.115089670,-0.355389267,-0.019046746,-317.777862549,-188.953598022,-2469.360595703, 0.009440039,
23,,,,,,,, 0.115071423,-0.355452180,-0.019124527,-317.782196045,-188.952957153,-2469.359863281, 0.009854938,
24,,,,,,,, 0.115144387,-0.355502784,-0.019234560,-317.779174805,-188.953201294,-2469.369873047, 0.010148058,
25,,,,,,,, 0.115252808,-0.355610490,-0.019548954,-317.785308838,-188.954727173,-2469.351562500, 0.009355015,
26,,,,,,,, 0.115357742,-0.355426461,-0.019733211,-317.788146973,-188.954238892,-2469.365478516, 0.010082414,
27,,,,,,,, 0.115532927,-0.355286658,-0.020142974,-317.786529541,-188.955612183,-2469.353271484, 0.009519020,
28,,,,,,,, 0.115585275,-0.355596751,-0.020328198,-317.781738281,-188.954162598,-2469.379394531, 0.010949337,
29,,,,,,,, 0.115660474,-0.355645478,-0.020632865,-317.780761719,-188.955383301,-2469.364746094, 0.009803902,
30,,,,,,,, 0.115730546,-0.355460316,-0.020892523,-317.779724121,-188.957412720,-2469.328613281, 0.008220034,
31,,,,,,,, 0.115662366,-0.355562657,-0.020884831,-317.786010742,-188.958236694,-2469.324951172, 0.008751414,
32,,,,,,,, 0.115575865,-0.355626673,-0.020621950,-317.782318115,-188.954559326,-2469.353515625, 0.010381373,
33,,,,,,,, 0.115481973,-0.355525613,-0.020350156,-317.782318115,-188.953857422,-2469.365966797, 0.011052796,
34,,,,,,,, 0.115456238,-0.355452687,-0.020078791,-317.778533936,-188.952865601,-2469.370605469, 0.010902252,
35,,,,,,,, 0.115419284,-0.355697185,-0.019880148,-317.776336670,-188.953353882,-2469.363525391, 0.010326378,
36,,,,,,,, 0.115312152,-0.355510920,-0.019586934,-317.787384033,-188.954025269,-2469.366943359, 0.009602503,
37,,,,,,,, 0.115259141,-0.355364472,-0.019370116,-317.787963867,-188.954208374,-2469.358154297, 0.008937909,
38,,,,,,,, 0.115241453,-0.355429530,-0.019223625,-317.775573730,-188.953628540,-2469.357666016, 0.008115703,
39,,,,,,,, 0.115128674,-0.355437219,-0.019027231,-317.776458740,-188.951019287,-2469.375976563, 0.009001147,
40,,,,,,,, 0.115072392,-0.355506897,-0.018928124,-317.771148682,-188.949462891,-2469.387695313, 0.010496108,
41,,,,,,,, 0.115014300,-0.355402440,-0.018853439,-317.776000977,-188.949020386,-2469.401611328, 0.010683339,
42,,,,,,,, 0.115130678,-0.355513662,-0.019073159,-317.770629883,-188.949707031,-2469.387939453, 0.009696934,
43,,,,,,,, 0.115240030,-0.355481088,-0.019321406,-317.771423340,-188.950668335,-2469.379638672, 0.010133147,
44,,,,,,,, 0.115340792,-0.355481803,-0.019766990,-317.786102295,-188.953430176,-2469.354736328, 0.010039286,
45,,,,,,,, 0.115426831,-0.355482578,-0.020061551,-317.790832520,-188.953994751,-2469.358398438, 0.009589411,
46,,,,,,,, 0.115502931,-0.355341434,-0.020196320,-317.788726807,-188.952835083,-2469.377929688, 0.010934693,
47,,,,,,,, 0.115594275,-0.355433553,-0.020461546,-317.783843994,-188.953338623,-2469.366699219, 0.010453281,
48,,,,,,,, 0.115617640,-0.355472058,-0.020533448,-317.777221680,-188.953186035,-2469.372802734, 0.010569548,
49,,,,,,,, 0.115641169,-0.355298519,-0.020630131,-317.774902344,-188.953201294,-2469.355712891, 0.009396309,
50,,,,,,,, 0.115658209,-0.355562538,-0.020811174,-317.775482178,-188.955032349,-2469.323242188, 0.008151245,
51,,,,,,,, 0.115546741,-0.355593354,-0.020537438,-317.779632568,-188.953628540,-2469.346435547, 0.009551053,
52,,,,,,,, 0.115497559,-0.355555743,-0.020276990,-317.780792236,-188.953903198,-2469.349365234, 0.009926486,
53,,,,,,,, 0.115430884,-0.355277836,-0.019993732,-317.787139893,-188.953781128,-2469.350097656, 0.009902550,
54,,,,,,,, 0.115377173,-0.355322391,-0.019732524,-317.785583496,-188.953353882,-2469.349121094, 0.008513757,
55,,,,,,,, 0.115322359,-0.355525255,-0.019541707,-317.783050537,-188.952957153,-2469.346679688, 0.009237218,
56,,,,,,,, 0.115301296,-0.355470061,-0.019582022,-317.784332275,-188.955337524,-2469.313720703, 0.008072877,
57,,,,,,,, 0.115200691,-0.355360508,-0.019389343,-317.783111572,-188.953430176,-2469.323974609, 0.008197252,
58,,,,,,,, 0.115059085,-0.355310798,-0.018968014,-317.775329590,-188.948898315,-2469.382812500, 0.010166028,
59,,,,,,,, 0.115067117,-0.355411291,-0.019004270,-317.772918701,-188.948608398,-2469.378173828, 0.010439800,
60,,,,,,,, 0.115140483,-0.355189145,-0.019175947,-317.775787354,-188.950180054,-2469.368408203, 0.009101797,
61,,,,,,,, 0.115239650,-0.355324328,-0.019422023,-317.774810791,-188.950592041,-2469.365722656, 0.010028690,
62,,,,,,,, 0.115366697,-0.355430096,-0.019794457,-317.781280518,-188.952728271,-2469.349121094, 0.009587067,
63,,,,,,,, 0.115491621,-0.355408639,-0.020168386,-317.787048340,-188.954620361,-2469.332031250, 0.008591307,
64,,,,,,,, 0.115592733,-0.355342239,-0.020500939,-317.792114258,-188.956207275,-2469.311279297, 0.008479396,
65,,,,,,,, 0.115638018,-0.355238795,-0.020551978,-317.786773682,-188.955368042,-2469.329101563, 0.008680347,
66,,,,,,,, 0.115585580,-0.355431825,-0.020486226,-317.780609131,-188.953002930,-2469.364257813, 0.009794693,
67,,,,,,,, 0.115626097,-0.355388463,-0.020770095,-317.782745361,-188.954330444,-2469.330810547, 0.009107647,
68,,,,,,,, 0.115645334,-0.355362296,-0.020851338,-317.778381348,-188.954895020,-2469.315673828, 0.008263723,
69,,,,,,,, 0.115563542,-0.355258822,-0.020557579,-317.777252197,-188.952560425,-2469.345947266, 0.008433184,
70,,,,,,,, 0.115561835,-0.355248123,-0.020468831,-317.777893066,-188.953262329,-2469.327636719, 0.008183679,
71,,,,,,,, 0.115517959,-0.355354905,-0.020209184,-317.778961182,-188.952911377,-2469.338378906, 0.008136401,
72,,,,,,,, 0.115386695,-0.355259985,-0.019781614,-317.785919189,-188.951293945,-2469.366210938, 0.009696489,
73,,,,,,,, 0.115365818,-0.355306923,-0.019639950,-317.782440186,-188.951354980,-2469.353027344, 0.009041773,
74,,,,,,,, 0.115264460,-0.355290264,-0.019427739,-317.785675049,-188.950622559,-2469.353515625, 0.009417828,
75,,,,,,,, 0.115204178,-0.355279356,-0.019304695,-317.782714844,-188.950027466,-2469.342529297, 0.009090207,
76,,,,,,,, 0.115144901,-0.355277956,-0.019195728,-317.778350830,-188.950500488,-2469.343994141, 0.008606532,
77,,,,,,,, 0.115118936,-0.355220497,-0.019210484,-317.780792236,-188.950500488,-2469.349121094, 0.009390901,
78,,,,,,,, 0.115130410,-0.355194628,-0.019266507,-317.776611328,-188.948959351,-2469.355468750, 0.009350961,
79,,,,,,,, 0.115215354,-0.355245471,-0.019562827,-317.781280518,-188.950546265,-2469.343017578, 0.008715506,
80,,,,,,,, 0.115308113,-0.355166137,-0.019631002,-317.778198242,-188.948150635,-2469.375244141, 0.009184066,
81,,,,,,,, 0.115493476,-0.355142295,-0.020224547,-317.789581299,-188.953323364,-2469.312255859, 0.007463508,
82,,,,,,,, 0.115561053,-0.355039984,-0.020417232,-317.795715332,-188.953826904,-2469.311035156, 0.008578565,
83,,,,,,,, 0.115592346,-0.355073839,-0.020400118,-317.787017822,-188.951675415,-2469.344238281, 0.008639460,
84,,,,,,,, 0.115625598,-0.355144590,-0.020600861,-317.785766602,-188.952423096,-2469.333496094, 0.009240377,
85,,,,,,,, 0.115637779,-0.355267853,-0.020676909,-317.781280518,-188.952209473,-2469.335449219, 0.010270944,
86,,,,,,,, 0.115538664,-0.355327427,-0.020506807,-317.781585693,-188.950317383,-2469.367675781, 0.010224351,
87,,,,,,,, 0.115490019,-0.355155081,-0.020327454,-317.779693604,-188.949859619,-2469.381835938, 0.010042296,
88,,,,,,,, 0.115465529,-0.355121881,-0.020220194,-317.779815674,-188.950195313,-2469.373535156, 0.010006578,
89,,,,,,,, 0.115452677,-0.355273783,-0.020055933,-317.775329590,-188.949310303,-2469.373535156, 0.010543037,
90,,,,,,,, 0.115431592,-0.355147362,-0.019929593,-317.779388428,-188.950973511,-2469.361572266, 0.009733101,
91,,,,,,,, 0.115353324,-0.355043530,-0.019680614,-317.782409668,-188.950637817,-2469.365478516, 0.009545146,
